Raw file name,Experiment series ,Peptide source,Proteome,Quantification,Offline fractionation,Offline fraction
01747_A01_P018218_S00_I00_N01_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,1
01747_B01_P018218_S00_I00_N02_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,2
01747_C01_P018218_S00_I00_N03_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,3
01747_D01_P018218_S00_I00_N04_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,4
01747_E01_P018218_S00_I00_N05_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,5
01747_F01_P018218_S00_I00_N06_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,6
01747_G01_P018218_S00_I00_N07_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,7
01747_H01_P018218_S00_I00_N08_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,8
01747_A02_P018218_S00_I00_N09_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,9
01747_B02_P018218_S00_I00_N10_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,10
01747_C02_P018218_S00_I00_N11_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,11
01747_D02_P018218_S00_I00_N12_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,12
01747_E02_P018218_S00_I00_N13_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,13
01747_F02_P018218_S00_I00_N14_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,14
01747_G02_P018218_S00_I00_N15_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,15
01747_H02_P018218_S00_I00_N16_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,16
01747_A03_P018218_S00_I00_N17_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,17
01747_B03_P018218_S00_I00_N18_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,18
01747_C03_P018218_S00_I00_N19_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,19
01747_D03_P018218_S00_I00_N20_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,20
01747_E03_P018218_S00_I00_N21_R1,Tissue atlas,EB,Full proteome,MS1,hSAX,21
