"file","replicate","experiment","fraction"
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_01.raw","Brain1","F01",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_02.raw","Brain1","F02",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_03_repeat.raw","Brain1","F03",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_03.raw","Brain1","F03",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_04.raw","Brain1","F04",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_05.raw","Brain1","F05",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_06.raw","Brain1","F06",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_07.raw","Brain1","F07",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_08.raw","Brain1","F08",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_09.raw","Brain1","F09",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_10.raw","Brain1","F10",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_11.raw","Brain1","F11",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_12_repeat.raw","Brain1","F12",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_12.raw","Brain1","F12",2
"Nsco_PCP_SEC_SILAC_Brain_set1_fraction13_repeat.raw","Brain1","F13",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_13_repeat.raw","Brain1","F13",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_13.raw","Brain1","F13",3
"Nsco_PCP_SILAC_brain-set1_fraction13-repeat.raw","Brain1","F13",4
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_14_repeat.raw","Brain1","F14",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_14.raw","Brain1","F14",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_15_repeat.raw","Brain1","F15",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_15.raw","Brain1","F15",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_16_repeat.raw","Brain1","F16",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_16.raw","Brain1","F16",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_16v2_repeat.raw","Brain1","F16",3
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_16v2.raw","Brain1","F16",4
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_17_repeat.raw","Brain1","F17",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_17.raw","Brain1","F17",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_17v2.raw","Brain1","F17",3
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_18_repeat.raw","Brain1","F18",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_18.raw","Brain1","F18",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_19_repeat.raw","Brain1","F19",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_19.raw","Brain1","F19",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_20_repeat.raw","Brain1","F20",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_20.raw","Brain1","F20",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_21_repeat.raw","Brain1","F21",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_21.raw","Brain1","F21",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_22_repeat.raw","Brain1","F22",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_22.raw","Brain1","F22",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_23_repeat.raw","Brain1","F23",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_23.raw","Brain1","F23",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_24_repeat.raw","Brain1","F24",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_24.raw","Brain1","F24",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_25_repeat.raw","Brain1","F25",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_26_repeat.raw","Brain1","F26",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_27_repeat.raw","Brain1","F27",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_27.raw","Brain1","F27",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_28_repeat.raw","Brain1","F28",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_29.raw","Brain1","F29",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_30_repeat.raw","Brain1","F30",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_30.raw","Brain1","F30",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_31.raw","Brain1","F31",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_32.raw","Brain1","F32",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_33.raw","Brain1","F33",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_34.raw","Brain1","F34",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_35.raw","Brain1","F35",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_36.raw","Brain1","F36",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_37_repeat.raw","Brain1","F37",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_37.raw","Brain1","F37",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_38_repeat.raw","Brain1","F38",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_38.raw","Brain1","F38",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_39_repeat.raw","Brain1","F39",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_39.raw","Brain1","F39",2
"Nsco_PCP_SEC_SILAC_Brain_set1_fraction40_repeat_2.raw","Brain1","F40",1
"Nsco_PCP_SEC_SILAC_Brain_set1_fraction40_repeat.raw","Brain1","F40",2
"Nsco_PCP_SEC_SILAC_Brain_set1_fraction41_repeat1.raw","Brain1","F41",1
"Nsco_PCP_SEC_SILAC_Brain_set1_fraction41_repeat2.raw","Brain1","F41",2
"Nsco_PCP_SILAC_brain-set1_fraction41-repeat.raw","Brain1","F41",3
"Nsco_PCP_SEC_SILAC_Brain_set1_fraction42_repeat1.raw","Brain1","F42",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_42.raw","Brain1","F42",2
"Nsco_PCP_SILAC_brain-set1_fraction42-repeat.raw","Brain1","F42",3
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_43_repeat.raw","Brain1","F43",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_43.raw","Brain1","F43",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_44_repeat.raw","Brain1","F44",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_44.raw","Brain1","F44",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_45_repeat.raw","Brain1","F45",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_45.raw","Brain1","F45",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_46_repeat.raw","Brain1","F46",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_46.raw","Brain1","F46",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_47.raw","Brain1","F47",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_48.raw","Brain1","F48",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_49_140615035308.raw","Brain1","F49",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_49.raw","Brain1","F49",2
"Nsco_PCP_SEC_SILAC_Brain_set1_fraction50_repeat.raw","Brain1","F50",1
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_50_140615071847.raw","Brain1","F50",2
"Nsco_PCP_SEC_SILAC_Mice_brain_fraction_50.raw","Brain1","F50",3
