Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
2019-05-02_Fusion_17637	848_Gradient1_01	101	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		20158	68670	0	90414	46924	0	43490	19534	17822	0	1712	21.61	37.98	NaN	3.94	12258	1006574	55246	5.49	5087	9.21	104942	38035	37038	36.24	47.33	7584	19.94	+	0.53087	0.78975	0.38377	0.60862	
2019-05-02_Fusion_17638	848_Gradient1_02	102	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		19537	73566	0	95881	51251	0	44630	22708	20741	0	1967	23.68	40.47	NaN	4.41	14815	975113	59601	6.11	5298	8.89	110258	42028	40927	38.12	48.58	7945	18.9	+	0.54532	0.81665	0.39515	0.63507	
2019-05-02_Fusion_17639	848_Gradient1_03	103	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		20086	69407	0	88739	50075	0	38664	21507	19754	0	1753	24.24	39.45	NaN	4.53	14418	1049738	57193	5.45	5000	8.74	113900	41177	40136	36.15	47.55	7652	18.58	+	0.56785	0.84365	0.40311	0.63986	
2019-05-02_Fusion_17640	848_Gradient1_04	104	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		19260	70621	0	90591	50649	0	39942	20419	18893	0	1526	22.54	37.3	NaN	3.82	13456	1071349	58143	5.43	5033	8.66	118801	41640	40680	35.05	44.99	7741	18.59	+	0.59211	0.87778	0.42882	0.6766	
2019-05-02_Fusion_17641	848_Gradient1_05	105	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		19208	72187	0	92314	52060	0	40254	21358	19708	0	1650	23.14	37.86	NaN	4.1	13563	1004795	59444	5.92	5190	8.73	115275	42857	41994	37.18	47.36	7950	18.55	+	0.56471	0.83852	0.41061	0.64804	
2019-05-02_Fusion_17642	848_Gradient1_06	106	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		20809	63346	0	82307	44379	0	37928	17050	15924	0	1126	20.72	35.88	NaN	2.97	11101	1066039	51789	4.86	4723	9.12	108462	36251	35552	33.42	43.82	6934	19.13	+	0.55067	0.8281	0.39523	0.62577	
2019-05-02_Fusion_17643	848_Gradient1_07	107	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		20509	66530	0	87321	45739	0	41582	17820	16223	0	1597	20.41	35.47	NaN	3.84	11324	990967	54020	5.45	4772	8.83	108767	37438	36648	34.42	45.58	7142	19.08	+	0.54857	0.81522	0.38917	0.6175	
2019-05-02_Fusion_17644	848_Gradient1_08	108	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		22435	60197	0	81702	38690	0	43012	14555	12949	0	1606	17.81	33.47	NaN	3.73	9191	1024940	48180	4.7	4365	9.06	102508	31414	30659	30.65	40.94	6182	19.68	+	0.52947	0.7837	0.37555	0.58435	
2019-05-02_Fusion_17645	848_Gradient1_09	109	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		22968	58077	0	79278	36866	0	42412	13107	11590	0	1517	16.53	31.44	NaN	3.58	8192	1010268	46391	4.59	4032	8.69	99547	30072	29375	30.21	41.02	5785	19.24	+	0.52312	0.77633	0.36863	0.58048	
2019-05-02_Fusion_17646	848_Gradient1_10	110	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		24147	54030	0	74291	33767	0	40524	10955	9746	0	1209	14.75	28.86	NaN	2.98	6571	1028420	43356	4.22	3835	8.85	98546	27537	26806	27.94	37.89	5399	19.61	+	0.50405	0.74917	0.35589	0.55958	
2019-05-02_Fusion_17647	848_Gradient1_11	111	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		24282	52378	0	72071	32679	0	39392	10362	9332	0	1030	14.38	28.56	NaN	2.61	6180	1055130	41758	3.96	3651	8.74	98262	26473	25917	26.94	38.23	5330	20.13	+	0.48092	0.71931	0.34131	0.54031	
2019-05-02_Fusion_17648	848_Gradient1_12	112	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		27596	36022	0	49553	22479	0	27074	4977	4716	0	261	10.04	20.98	NaN	0.96	2774	1055843	28984	2.75	2763	9.53	85207	17730	17331	20.81	32.74	4098	23.11	+	0.44377	0.68019	0.3387	0.54287	
2019-05-02_Fusion_17649	848_Gradient1_13	113	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Gln->pyro-Glu	Carbamidomethyl (C)		Oxidation (M)	True	False	1	3		Standard		23949	55044	0	77056	33030	0	44026	9338	8333	0	1005	12.12	25.23	NaN	2.28	5129	1034595	43263	4.18	3828	8.85	94449	26604	25975	28.17	39.21	5506	20.7	+	0.47686	0.72349	0.3349	0.53443	
